MEP_system,Image_ID,Ansatz,Fine-tune/Train_steps,E(Hartree)
Ethane,4,"Orbformer scratch, single structures",16000,-79.67622919209798
Ethane,5,"Orbformer scratch, single structures",16000,-79.62151535373263
Ethane,6,"Orbformer scratch, single structures",16000,-79.60721061537001
Ethane,7,"Orbformer scratch, single structures",16000,-79.56750954522028
Ethane,8,"Orbformer scratch, single structures",16000,-79.57302896457249
Ethane,9,"Orbformer scratch, single structures",16000,-79.60424913194444
Ethane,10,"Orbformer scratch, single structures",16000,-79.61509580145942
Ethane,11,"Orbformer scratch, single structures",16000,-79.62915117730034
Ethane,12,"Orbformer scratch, single structures",16000,-79.61518697272406
Ethane,13,"Orbformer scratch, single structures",16000,-79.62154035101996
Ethane,14,"Orbformer scratch, single structures",16000,-79.62590121290418
Ethane,15,"Orbformer scratch, single structures",16000,-79.62283688354492
Ethane,16,"Orbformer scratch, single structures",16000,-79.61975681898329
Ethane,17,"Orbformer scratch, single structures",16000,-79.62672747802735
Ethane,18,"Orbformer scratch, single structures",16000,-79.63331997680665
Ethane,19,"Orbformer scratch, single structures",16000,-79.61907380337185
Ethane,0,"Orbformer scratch, single structures",32000,-79.81782738579643
Ethane,1,"Orbformer scratch, single structures",32000,-79.81623789808485
Ethane,2,"Orbformer scratch, single structures",32000,-79.81010316975912
Ethane,3,"Orbformer scratch, single structures",32000,-79.76484902445475
Ethane,4,"Orbformer scratch, single structures",32000,-79.70258884006077
Ethane,5,"Orbformer scratch, single structures",32000,-79.6470489807129
Ethane,6,"Orbformer scratch, single structures",32000,-79.62747451104057
Ethane,7,"Orbformer scratch, single structures",32000,-79.59072591318873
Ethane,8,"Orbformer scratch, single structures",32000,-79.59178837246365
Ethane,9,"Orbformer scratch, single structures",32000,-79.62799174838597
Ethane,10,"Orbformer scratch, single structures",32000,-79.63622987704807
Ethane,11,"Orbformer scratch, single structures",32000,-79.63796643744574
Ethane,12,"Orbformer scratch, single structures",32000,-79.64211858452691
Ethane,13,"Orbformer scratch, single structures",32000,-79.64286292860243
Ethane,14,"Orbformer scratch, single structures",32000,-79.64417182413737
Ethane,15,"Orbformer scratch, single structures",32000,-79.64492341274685
Ethane,16,"Orbformer scratch, single structures",32000,-79.64559640842013
Ethane,17,"Orbformer scratch, single structures",32000,-79.64451874457465
Ethane,18,"Orbformer scratch, single structures",32000,-79.64667212253147
Ethane,19,"Orbformer scratch, single structures",32000,-79.64128542582193
Ethane,0,"Orbformer scratch, all structures",250,-78.90026469443193
Ethane,1,"Orbformer scratch, all structures",250,-78.92279580357345
Ethane,2,"Orbformer scratch, all structures",250,-78.92583234318502
Ethane,3,"Orbformer scratch, all structures",250,-78.91184563171325
Ethane,4,"Orbformer scratch, all structures",250,-78.89425427136132
Ethane,5,"Orbformer scratch, all structures",250,-78.86375790966372
Ethane,6,"Orbformer scratch, all structures",250,-78.85938579726057
Ethane,7,"Orbformer scratch, all structures",250,-78.8273013145671
Ethane,8,"Orbformer scratch, all structures",250,-78.79304348237845
Ethane,9,"Orbformer scratch, all structures",250,-78.77446715127651
Ethane,10,"Orbformer scratch, all structures",250,-78.76684845325873
Ethane,11,"Orbformer scratch, all structures",250,-78.71735582165891
Ethane,12,"Orbformer scratch, all structures",250,-78.5113178606656
Ethane,13,"Orbformer scratch, all structures",250,-78.73168369028245
Ethane,14,"Orbformer scratch, all structures",250,-78.76180637212816
Ethane,15,"Orbformer scratch, all structures",250,-78.759525720241
Ethane,16,"Orbformer scratch, all structures",250,-78.76354567870831
Ethane,17,"Orbformer scratch, all structures",250,-78.75237090838809
Ethane,18,"Orbformer scratch, all structures",250,-78.74626648192279
Ethane,19,"Orbformer scratch, all structures",250,-78.74007492085116
Ethane,0,"Orbformer scratch, all structures",1000,-79.56897800070708
Ethane,1,"Orbformer scratch, all structures",1000,-79.58690481391662
Ethane,2,"Orbformer scratch, all structures",1000,-79.58521097689594
Ethane,3,"Orbformer scratch, all structures",1000,-79.53134920332009
Ethane,4,"Orbformer scratch, all structures",1000,-79.46381488613444
Ethane,5,"Orbformer scratch, all structures",1000,-79.42434305508473
Ethane,6,"Orbformer scratch, all structures",1000,-79.41833526957302
Ethane,7,"Orbformer scratch, all structures",1000,-79.40211081087246
Ethane,8,"Orbformer scratch, all structures",1000,-79.42108786567995
Ethane,9,"Orbformer scratch, all structures",1000,-79.47460206730017
Ethane,10,"Orbformer scratch, all structures",1000,-79.48730562909337
Ethane,11,"Orbformer scratch, all structures",1000,-79.47310441838678
Ethane,12,"Orbformer scratch, all structures",1000,-79.48680526371037
Ethane,13,"Orbformer scratch, all structures",1000,-79.46404818645956
Ethane,14,"Orbformer scratch, all structures",1000,-79.4846499250735
Ethane,15,"Orbformer scratch, all structures",1000,-79.48679114941451
Ethane,16,"Orbformer scratch, all structures",1000,-79.48683206668315
Ethane,17,"Orbformer scratch, all structures",1000,-79.48568315763144
Ethane,18,"Orbformer scratch, all structures",1000,-79.48392703223756
Ethane,19,"Orbformer scratch, all structures",1000,-79.4794278930747
Ethane,0,"Orbformer scratch, all structures",4000,-79.74132257941164
Ethane,1,"Orbformer scratch, all structures",4000,-79.74685345781151
Ethane,2,"Orbformer scratch, all structures",4000,-79.74261889016046
Ethane,3,"Orbformer scratch, all structures",4000,-79.69354700654449
Ethane,4,"Orbformer scratch, all structures",4000,-79.62492891083342
Ethane,5,"Orbformer scratch, all structures",4000,-79.56714841830704
Ethane,6,"Orbformer scratch, all structures",4000,-79.54852044821845
Ethane,7,"Orbformer scratch, all structures",4000,-79.5187210742668
Ethane,8,"Orbformer scratch, all structures",4000,-79.52878838995072
Ethane,9,"Orbformer scratch, all structures",4000,-79.57248454213546
Ethane,10,"Orbformer scratch, all structures",4000,-79.58208505914497
Ethane,11,"Orbformer scratch, all structures",4000,-79.58336182138899
Ethane,12,"Orbformer scratch, all structures",4000,-79.58916169946697
Ethane,13,"Orbformer scratch, all structures",4000,-79.58476051385855
Ethane,14,"Orbformer scratch, all structures",4000,-79.58712886154615
Ethane,15,"Orbformer scratch, all structures",4000,-79.58773369850823
Ethane,16,"Orbformer scratch, all structures",4000,-79.58891305429253
Ethane,17,"Orbformer scratch, all structures",4000,-79.59010969779817
Ethane,18,"Orbformer scratch, all structures",4000,-79.58811109066794
Ethane,19,"Orbformer scratch, all structures",4000,-79.58602706348698
Ethane,0,"Orbformer scratch, all structures",8000,-79.77346532228258
Ethane,1,"Orbformer scratch, all structures",8000,-79.77467584448254
Ethane,2,"Orbformer scratch, all structures",8000,-79.7696080262592
Ethane,3,"Orbformer scratch, all structures",8000,-79.72505553549101
Ethane,4,"Orbformer scratch, all structures",8000,-79.66536547702103
Ethane,5,"Orbformer scratch, all structures",8000,-79.60703046924769
Ethane,6,"Orbformer scratch, all structures",8000,-79.5838204531246
Ethane,7,"Orbformer scratch, all structures",8000,-79.54875586392532
Ethane,8,"Orbformer scratch, all structures",8000,-79.55416654795377
Ethane,9,"Orbformer scratch, all structures",8000,-79.59455381524495
Ethane,10,"Orbformer scratch, all structures",8000,-79.60350413409188
Ethane,11,"Orbformer scratch, all structures",8000,-79.60609222401632
Ethane,12,"Orbformer scratch, all structures",8000,-79.60713884804721
Ethane,13,"Orbformer scratch, all structures",8000,-79.60649140206543
Ethane,14,"Orbformer scratch, all structures",8000,-79.61065267766317
Ethane,15,"Orbformer scratch, all structures",8000,-79.61005328364712
Ethane,16,"Orbformer scratch, all structures",8000,-79.61070584538764
Ethane,17,"Orbformer scratch, all structures",8000,-79.61208017349458
Ethane,18,"Orbformer scratch, all structures",8000,-79.61235251121764
Ethane,19,"Orbformer scratch, all structures",8000,-79.61208484697775
Ethane,0,"Orbformer scratch, all structures",16000,-79.7992207908915
Ethane,1,"Orbformer scratch, all structures",16000,-79.79746043069498
Ethane,2,"Orbformer scratch, all structures",16000,-79.78957867177327
