,geometry,dataset,finetuning,pretraining,rmean
183,3,TM,64,512000,-100.24328935491104
184,4,TM,64,512000,-100.20857154326306
185,0,TM,256,512000,-100.36268557535807
186,1,TM,256,512000,-100.36090548706055
187,2,TM,256,512000,-100.35571986083984
188,3,TM,256,512000,-100.34240994974772
189,4,TM,256,512000,-100.32653339272548
190,0,TM,1024,512000,-100.37552948099773
191,1,TM,1024,512000,-100.37454159647623
192,2,TM,1024,512000,-100.3716075571696
193,3,TM,1024,512000,-100.36155621236165
194,4,TM,1024,512000,-100.34857907710449
195,0,TM,2048,512000,-100.37667046203613
196,1,TM,2048,512000,-100.37589151407877
197,2,TM,2048,512000,-100.37256628214519
198,3,TM,2048,512000,-100.3622590443929
199,4,TM,2048,512000,-100.34982869847327
200,0,OC0,4,200000,-97.97360845301328
201,1,OC0,4,200000,-97.9949645306376
202,2,OC0,4,200000,-98.02297165018487
203,3,OC0,4,200000,-98.07094540999469
204,4,OC0,4,200000,-98.12368374609464
205,0,OC0,32,200000,-99.2551370486228
206,1,OC0,32,200000,-99.26194376203054
207,2,OC0,32,200000,-99.26378549397786
208,3,OC0,32,200000,-99.25681477885065
209,4,OC0,32,200000,-99.24288002273776
210,0,OC0,1,200000,-97.90494567425179
211,1,OC0,1,200000,-97.92461662188227
212,2,OC0,1,200000,-97.95313398240302
213,3,OC0,1,200000,-98.00670364470159
214,4,OC0,1,200000,-98.05430637844609
215,0,OC0,2,200000,-97.92588233387202
216,1,OC0,2,200000,-97.94473066433703
217,2,OC0,2,200000,-97.96799549634072
218,3,OC0,2,200000,-98.01645780247902
219,4,OC0,2,200000,-98.06986622964263
220,0,OC0,8,200000,-98.19061844380401
221,1,OC0,8,200000,-98.21385705738633
222,2,OC0,8,200000,-98.22823040792294
223,3,OC0,8,200000,-98.26667136620634
224,4,OC0,8,200000,-98.29345633559709
225,0,OC0,4096,200000,-100.37586448872884
226,1,OC0,4096,200000,-100.37518635457357
227,2,OC0,4096,200000,-100.37240103963217
228,3,OC0,4096,200000,-100.362027831014
229,4,OC0,4096,200000,-100.34967197693416
230,0,OC0,16,200000,-98.69516518271729
231,1,OC0,16,200000,-98.71988770795039
232,2,OC0,16,200000,-98.73418338796635
233,3,OC0,16,200000,-98.76202445021653
234,4,OC0,16,200000,-98.77566922242767
235,0,OC0,128,200000,-100.31184964497884
236,1,OC0,128,200000,-100.31239178771973
237,2,OC0,128,200000,-100.30888183695475
238,3,OC0,128,200000,-100.29780278422038
239,4,OC0,128,200000,-100.28114993477809
240,0,OC0,512,200000,-100.35069834493001
241,1,OC0,512,200000,-100.35141420288086
242,2,OC0,512,200000,-100.34917546895345
243,3,OC0,512,200000,-100.3378689259847
244,4,OC0,512,200000,-100.32531660959742
245,0,OC0,64,200000,-100.2076342726552
246,1,OC0,64,200000,-100.21178442291576
247,2,OC0,64,200000,-100.21547625950038
248,3,OC0,64,200000,-100.20331397908528
249,4,OC0,64,200000,-100.18877214837956
250,0,OC0,256,200000,-100.33612944742839
251,1,OC0,256,200000,-100.3361381072998
252,2,OC0,256,200000,-100.33252334187826
253,3,OC0,256,200000,-100.32215286153158
254,4,OC0,256,200000,-100.30747405318105
255,0,OC0,1024,200000,-100.36953069254557
256,1,OC0,1024,200000,-100.36873705749511
257,2,OC0,1024,200000,-100.36561877034505
258,3,OC0,1024,200000,-100.3554173207601
259,4,OC0,1024,200000,-100.3425189622451
260,0,OC0,2048,200000,-100.37395388387044
261,1,OC0,2048,200000,-100.37335553690592
262,2,OC0,2048,200000,-100.3703194519043
263,3,OC0,2048,200000,-100.35983907775879
264,4,OC0,2048,200000,-100.34706738059053
