ID,HF_DZ,HF_TZ,CCSD_DZ,CCSD_TZ,CCSD(T)_DZ,CCSD(T)_TZ,Time_DZ,Time_TZ,HF_CBS,CCSD(T)_CBS
alkane6,-235.3791241446673,-235.4457104507412,-236.35719968843296,-236.6849667161804,-236.38537677975123,-236.72984777498357,2.990539789199829_71.62738847732544_106.25061511993408,18.734923124313354_1796.1137132644653_4906.064039468765,-235.46736539844812,-236.91388083924645
alkane7,-274.41523109756275,-274.4922277462652,-275.551808930353,-275.93280948088625,-275.58496429412145,-275.9854828221349,3.6982533931732178_152.18755674362183_271.0427734851837,21.809802055358887_2056.2117278575897_3630.661021232605,-274.51726830639797,-276.1995689665575
alkane8,-313.4513344302259,-313.5387412155588,-314.74641401500884,-315.18066166347296,-314.78454834443386,-315.2411286307375,4.4354407787323_301.6551971435547_673.7343034744263,33.71147322654724_4298.582620382309_8743.300847291946,-313.5671673211234,-315.4852762211796
alkane9,-352.4874357754339,-352.58525247951326,-353.9410144824479,-354.428515227436,-353.9841279830223,-354.4967765397608,5.076676368713379_548.1637473106384_1433.6740715503693,50.33013081550598_8466.827824115753_18043.76943707466,-352.6170640596503,-354.77098943796324
alkane10,-391.5235357340621,-391.6317626772279,-393.1356141349966,-393.6763705857388,-393.18370711982,-393.7524265469198,6.098631143569946_975.7144224643707_2827.609801054001,72.99766063690186_15650.670276403427_37235.690365314484,-391.66695983611726,-394.05670618910756
alkane11,-430.55963495628816,-430.67827215552006,-432.3302126668198,-432.9242261162759,-432.3832852215278,-433.008076949372,7.574293375015259_1613.6371471881866_5665.759267568588,111.26094055175781_22886.948657989502_67646.79979348183,-430.71685489868366,-433.3424241669701
alkane12,-469.5957336982407,-469.7247812373138,-471.5248107804972,-472.1720823642812,-471.5828629757564,-472.2637282198194,9.655120134353638_2846.8281750679016_10109.40835595131,152.96640276908875_42756.03107190132_125508.9084661007,-469.7667495919967,-472.6281437013658
alkane13,-508.6318321609706,-508.7712900225506,-510.7194086617462,-511.4199384169925,-510.782440545168,-511.519379328428,11.992066144943237_4379.646746873856_16507.879319429398,206.7503957748413_65382.899320840836_212455.19750523567,-508.81664398311545,-511.91386309184134
