ID,m06-2x,Time
0,-79.81469493664908,87.05612897872925
1,-79.81258444642557,94.84854936599731
2,-79.80583957519946,94.75624537467957
3,-79.7589212611459,103.79152488708496
4,-79.69303843139443,119.44783997535706
5,-79.63093891606886,134.95887565612793
6,-79.60670205050795,135.0966727733612
7,-79.57529534620248,135.05782914161682
8,-79.54203122366951,143.03246784210205
9,-79.55071695769477,177.4582576751709
10,-79.55700065102553,321.5079927444458
11,-79.56124015600409,226.3680419921875
12,-79.55461488472079,224.98790836334229
13,-79.55016313331808,377.34605598449707
14,-79.54719800278433,397.9984576702118
15,-79.54436787572169,222.47307753562927
16,-79.54181288983656,250.7992866039276
17,-79.53959692503352,243.63015818595886
18,-79.53764480753308,307.4371554851532
19,-79.64238107577006,322.2817749977112
