,Bond length,Orbformer N2 energy error,Orbformer N2 stdev,Orbformer N2 ethene energy error,Orbformer N2 ethene stdev,Pfaffian energy error
0,1.60151171047,-0.00189358038777,0.000137526119943,-0.00172573370808,0.000163261182024,-0.00088160136437
1,1.70827915784,-0.00149101730888,0.000135310328915,-0.0010561418206,0.000153176006279,-0.000531033282448
2,1.81504660521,-0.00129419060511,0.000125156424474,-0.00113397331995,0.000169995997567,-0.000472878173483
3,1.92181405257,-0.00166673208885,0.000120320895803,-0.000964827791975,0.000144691905007,-0.000648626278179
4,2.02858149994,-0.00106479465245,0.000130130487378,-0.00103427707433,0.000133664099849,-0.00068403849128
5,2.1353489473,-0.00128081020551,0.000130223910674,-0.0013494747563,0.000144656558405,-0.000415319178909
6,2.24211639467,-0.00133166501946,0.000121766417578,-0.00105700681634,0.000135113616125,-0.000544306259828
7,2.34888384203,-0.00129848763731,0.000126851693494,-0.00114589974669,0.000143960001878,-0.000427648937317
8,2.4556512894,-0.000863631310224,0.00011545419693,-0.00124510103679,0.00012859411072,-0.000556620926732
9,2.56241873676,-0.00113173588842,0.000125180304167,-0.00111647709936,0.000141574128065,-0.000638786617859
10,2.66918618413,-0.000759793182752,0.000119039221318,-0.000576687714002,0.000151327447384,-6.60112375339e-05
11,2.77595363149,-0.00107429491534,0.000129924155772,-0.000730972161435,0.000143698533066,0.000237750546101
12,2.88272107886,-0.000415213475421,0.00012413028162,-9.47789051082e-05,0.000137148846989,-1.98538738989e-05
13,2.98948852622,-0.00072273385635,0.000124862068333,-0.0002954877626,0.000142265693285,-0.000406128453242
14,3.09625597359,-3.45321069091e-05,0.000121731980471,3.41324438722e-05,0.000145408106619,0.00013156672706
15,3.20302342095,0.000126869852267,0.000126316037495,0.000325234110079,0.00015338488447,2.6001659665e-05
16,3.30979086832,0.000302816986334,0.000131689928821,0.000554587005865,0.000147284299601,0.000552046199219
17,3.41655831568,0.00113712984842,0.000143520053825,0.000961653774198,0.000160789408255,0.00111312566429
18,3.52332576305,0.00134344328927,0.000129862455651,0.00138159026193,0.000149075625814,0.00137008869538
19,3.63009321041,0.00180682481782,0.000131106178742,0.00177630723969,0.000153943765326,0.00167387311627
20,3.73686065778,0.00168761210173,0.000146399674122,0.00165709452361,0.000144719699165,0.00183730655407
21,3.84362810514,0.00191639427283,0.000127863735543,0.00156544212439,0.000141780546983,0.0018486930935
22,3.95039555251,0.00169056813287,0.000124941710965,0.00161427418756,0.000169031802216,0.00177817804312
23,4.05716299987,0.00117031977673,0.000126982005895,0.00149075434705,0.000148654988152,0.00173109255202
24,4.16393044724,0.00121080340327,0.00012357273954,0.00118791521967,0.000155585745233,0.0019530206576
25,4.2706978946,0.00097639156553,0.000142737902934,0.000953503381936,0.000146608901559,0.00133282022735
26,4.37746534197,0.000686072235865,0.00013551308075,0.000823401337428,0.000155262765475,0.00133249576002
27,4.48423278933,0.000984034608862,0.000164524099091,0.000617823671362,0.000140339499922,0.00113335582481
28,4.5910002367,0.000654814855963,0.000126293409267,9.78690551818e-05,0.000184351098142,0.000396203787718
29,4.69776768406,0.000456753418661,0.000123438687297,0.000227871582723,0.000151484287926,0.000524541933983
30,4.80453513143,0.000356229904995,0.000128808329464,2.81659401509e-05,0.000158362439834,0.000196769568186
31,4.91130257879,-2.60067065483e-06,0.00013858746388,0.000104210852783,0.000139430048876,-4.33324805607e-05
32,5.01807002616,-6.4637674015e-05,0.000135169248097,-0.000293519509952,0.000150200474309,9.08649419614e-05
33,5.12483747352,0.000138473823654,0.000137649025419,-0.000387954399002,0.00016207958106,-0.000108282539003
34,5.23160492089,-9.72300511535e-05,0.000127655221149,-0.000432923410528,0.000163031960255,-0.000330814304731
35,5.33837236825,0.000139281204255,0.000113851201604,-0.00044055278012,0.000144956371514,-9.72053753903e-05
36,5.87220960507,-0.000247107398181,0.000125000384287,-0.000468359839587,0.000160494149895,-0.000706947393683
37,6.4060468419,-5.00456644517e-05,0.000136814196594,0.000148318593361,0.000155562229338,-0.000708532001556
