Ansatz,System,Fine-tune step,Geometry,E
orbformer_finetune_joint_tm_512k,C3H4,0,8,-115.50165260731063+/-0
orbformer_finetune_joint_tm_512k,C3H4,0,9,-115.84790095415649+/-0
orbformer_finetune_joint_tm_512k,C3H4,250,0,-116.56852996253967+/-0
orbformer_finetune_joint_tm_512k,C3H4,250,1,-116.545815741539+/-0
orbformer_finetune_joint_tm_512k,C3H4,250,2,-116.51866021060944+/-0
orbformer_finetune_joint_tm_512k,C3H4,250,3,-116.55257361412049+/-0
orbformer_finetune_joint_tm_512k,C3H4,250,4,-116.49920011871673+/-0
orbformer_finetune_joint_tm_512k,C3H4,250,5,-116.55209837404614+/-0
orbformer_finetune_joint_tm_512k,C3H4,250,6,-116.50830377239151+/-0
orbformer_finetune_joint_tm_512k,C3H4,250,7,-116.51061231755997+/-0
orbformer_finetune_joint_tm_512k,C3H4,250,8,-116.44789453629163+/-0
orbformer_finetune_joint_tm_512k,C3H4,250,9,-116.56724131695312+/-0
orbformer_finetune_joint_tm_512k,C3H4,1000,0,-116.57648478126526+/-0
orbformer_finetune_joint_tm_512k,C3H4,1000,1,-116.562492354393+/-0
orbformer_finetune_joint_tm_512k,C3H4,1000,2,-116.54563617229462+/-0
orbformer_finetune_joint_tm_512k,C3H4,1000,3,-116.56923830224385+/-0
orbformer_finetune_joint_tm_512k,C3H4,1000,4,-116.53687913091863+/-0
orbformer_finetune_joint_tm_512k,C3H4,1000,5,-116.56832844142394+/-0
orbformer_finetune_joint_tm_512k,C3H4,1000,6,-116.52360380399683+/-0
orbformer_finetune_joint_tm_512k,C3H4,1000,7,-116.52659997019876+/-0
orbformer_finetune_joint_tm_512k,C3H4,1000,8,-116.47241048026781+/-0
orbformer_finetune_joint_tm_512k,C3H4,1000,9,-116.59068025830132+/-0
orbformer_finetune_joint_tm_512k,C3H4,4000,0,-116.59514191246032+/-0
orbformer_finetune_joint_tm_512k,C3H4,4000,1,-116.5822101316452+/-0
orbformer_finetune_joint_tm_512k,C3H4,4000,2,-116.5568624458313+/-0
orbformer_finetune_joint_tm_512k,C3H4,4000,3,-116.58237652397156+/-0
orbformer_finetune_joint_tm_512k,C3H4,4000,4,-116.54756206808618+/-0
orbformer_finetune_joint_tm_512k,C3H4,4000,5,-116.57809588176569+/-0
orbformer_finetune_joint_tm_512k,C3H4,4000,6,-116.54494581595783+/-0
orbformer_finetune_joint_tm_512k,C3H4,4000,7,-116.56401704338474+/-0
orbformer_finetune_joint_tm_512k,C3H4,4000,8,-116.49939904675138+/-0
orbformer_finetune_joint_tm_512k,C3H4,4000,9,-116.6028878510888+/-0
orbformer_finetune_joint_tm_512k,C3H4,8000,0,-116.59503266239166+/-0
orbformer_finetune_joint_tm_512k,C3H4,8000,1,-116.58182414722442+/-0
orbformer_finetune_joint_tm_512k,C3H4,8000,2,-116.55983874130249+/-0
orbformer_finetune_joint_tm_512k,C3H4,8000,3,-116.58558492088318+/-0
orbformer_finetune_joint_tm_512k,C3H4,8000,4,-116.55163686019388+/-0
orbformer_finetune_joint_tm_512k,C3H4,8000,5,-116.58150931325805+/-0
orbformer_finetune_joint_tm_512k,C3H4,8000,6,-116.54453232964912+/-0
orbformer_finetune_joint_tm_512k,C3H4,8000,7,-116.56833808168545+/-0
orbformer_finetune_joint_tm_512k,C3H4,8000,8,-116.49953183205344+/-0
orbformer_finetune_joint_tm_512k,C3H4,8000,9,-116.6055004373843+/-0
orbformer_finetune_joint_tm_512k,C3H4,16000,0,-116.59696748161316+/-0
orbformer_finetune_joint_tm_512k,C3H4,16000,1,-116.58569725322724+/-0
orbformer_finetune_joint_tm_512k,C3H4,16000,2,-116.56064303588867+/-0
orbformer_finetune_joint_tm_512k,C3H4,16000,3,-116.58674057292939+/-0
orbformer_finetune_joint_tm_512k,C3H4,16000,4,-116.55410893041284+/-0
orbformer_finetune_joint_tm_512k,C3H4,16000,5,-116.58299003643613+/-0
orbformer_finetune_joint_tm_512k,C3H4,16000,6,-116.54668462954022+/-0
orbformer_finetune_joint_tm_512k,C3H4,16000,7,-116.57069635575417+/-0
orbformer_finetune_joint_tm_512k,C3H4,16000,8,-116.50349276786882+/-0
orbformer_finetune_joint_tm_512k,C3H4,16000,9,-116.60375677024982+/-0
orbformer_finetune_joint_tm_512k,C3H4,32000,0,-116.60543355560303+/-0
orbformer_finetune_joint_tm_512k,C3H4,32000,1,-116.59423283958435+/-0
orbformer_finetune_joint_tm_512k,C3H4,32000,2,-116.56935133075714+/-0
orbformer_finetune_joint_tm_512k,C3H4,32000,3,-116.59544186973572+/-0
